status,cert_num,url,company_num,name,address,location,valid_from,valid_to,scope,body,notes
active,SGS/KZR/BIO/0236,http://certyfikaty.kzr.inig.eu/public/certs/3351.pdf,1548/7999/DD/22,EKO SELEKT Michał Okupski,"Polska, 99-300 Kutno, Majdany 6A","Polska, 99-300 Kutno, Majdany 6A",2022-09-27,2023-09-26,FGP of other waste/residue with and without storage; trading with and without storage; solid fuel production (derived from biomass),SGS Polska Sp. z o. o.,
active,SGS/KZR/BIO/0013,http://certyfikaty.kzr.inig.eu/public/certs/3352.pdf,1039/7999/DD/21,MULTON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Polska, 42-230 Koniecpol, ul. Mickiewicza 10","Polska, 21-512 Zalesie, HORBÓW KOLONIA 7a ;Polska, 05-530 Góra Kalwaria, Pijarska 121 ;Polska, 28-230 Połaniec, Brzozowa Ul. Zakładowa 9 ;",2022-09-27,2023-09-26,FGP of other wate/reside with and without storage; FGP of  forestry residues with and without trading; trading with and without storage; solid fuel production (derived from biomass); other: place of origin (PoO),SGS Polska Sp. z o. o.,
active,SGS/KZR/0231,http://certyfikaty.kzr.inig.eu/public/certs/3353.pdf,567/7999/DD/16,Kluczborska Spółdzielnia Producentów Rzepaku i Zbóż,"Polska, 46-211 Kujakowice Górne, ul. Ks. Rigola 56","Polska, 46-211 Kujakowice Górne, ul. Ks. Rigola 56",2022-09-27,2023-09-26,First  gathering point of crops without storage,SGS Polska Sp. z o. o.,
active,SGS/KZR/BIO/0238,http://certyfikaty.kzr.inig.eu/public/certs/3354.pdf,1499/7999/DD/22,Wienerberger Ceramika Budowlana Sp. z o.o.,"Polska, 03-736 Warszawa, Plac Konesera 8","1.Polska, 03-736 Warszawa, Plac Konesera 8; 2.Polska, 05-307 Dobre, Rudzienko 95 A; 3.Polska, 42-200 Częstochowa, Tatrzańska 3; 4.Polska, 62-561 Ślesin, Władysławów 100; 5.Polska, 36-100 Kolbuszowa, Kupno 494; 6.Polska, 84-300 Lębork, Łączna 2; 7.Polska, 28-220 Oleśnica, Pacanowska 14; 8.Polska, 48-370 Paczków, Robotnicza 15",2022-09-27,2023-09-26,First gathering point of other wastes/residues with storage;Other: biomass for technological purposes,SGS Polska Sp. z o. o.,
active,SGS/KZR/0298,http://certyfikaty.kzr.inig.eu/public/certs/3379.pdf,733/7999/DD/17,ROLPEX Stanisław Sosnowski,"Polska, 06-406 Opinogóra Górna, Wilkowo 3","Polska, 06-406 Opinogóra Górna, Wilkowo 3",2022-09-27,2023-09-26,First  gathering point of crops with storage; Trading with storage,SGS Polska Sp. z o. o.,
active,SGS/KZR/BIO/0018,http://certyfikaty.kzr.inig.eu/public/certs/3335.pdf,1011/7999/DD/21,"P.U.H.P. ""GARPOL"" HALINA GARUS","Polska, 42-230 KONIECPOL, SZKOLNA 24A","1.Polska, 42-230 KONIECPOL, SZKOLNA 24A; 2.Polska, 42-230 Koniecpol, Słowackiego 82",2022-09-26,2023-09-25,FGP of other wate/reside with and without storage; FGP of  forestry residues with and without trading; trading with and without storage; solid fuel production (derived from biomass),SGS Polska Sp. z o. o.,
active,SGS/KZR/BIO/0017,http://certyfikaty.kzr.inig.eu/public/certs/3336.pdf,1010/7999/DD/21,"P.U.P.H. ""GROM"" DAMIAN GARUS","POLSKA, 42-230 KONIECPOL, SZKOLNA 24A","1.POLSKA, 42-230 KONIECPOL, SZKOLNA 24A; 2.Polska, 42-230 KONIECPOL, SŁOWACKIEGO 82",2022-09-26,2023-09-25,FGP of other wate/reside with and without storage;  trading with and without storage; solid fuel production (derived from biomass),SGS Polska Sp. z o. o.,
active,TNP KZR INiG/0148/4610/2017,http://certyfikaty.kzr.inig.eu/public/certs/3338.pdf,725/7999/DD/17,Spółdzielnia TECTA w Rudziczce,"Polska, 48-200 Rudziczka, Rudziczka 13A",N/A,2022-09-26,2023-09-25,FGP of crops without storage; trading without storage,TÜV NORD Polska Sp. z o. o.,
active,DEKRA-710922090,http://certyfikaty.kzr.inig.eu/public/certs/3339.pdf,1636/7999/DD/22,AGRII PARTNER Sp. z o.o.,"Polska, 62-120 Podolin, 7","Polska, 62-120 Podolin, 7",2022-09-26,2023-09-25,FGP of crops with and without stroage; trading with and withoult storage,DEKRA Certification Sp. z o. o.,
active,URS 014293/B-0050,http://certyfikaty.kzr.inig.eu/public/certs/3340.pdf,1482/7999/DD/22,"MERYDEN, a.s.","Czech Republic (Czechia), 62000 Brno, Kaštanová 539/64","1.Czech Republic (Czechia), 62000 Brno, Kaštanová 539/64 ; 2.Czech Republic (Czechia), 58255 Herálec, Herálec 134",2022-09-26,2023-09-25,FGP of crops with storage; FGP of other waste/residue with storage; trading with storage; heat and/or electricity producer,United Registrar of Systems Polska Sp. z o.o.,
